Player,Birth,Pos,Age,Ht,Wt,S/C,Exp,Birth Date,Draft,Player-additional,,,
Brayden Schenn (C),ca CA,F,34,6-1,199,L/-,16,August 22 1991,2009 LAK 1st (5),schenbr01,,,
Corey Schueneman,us US,D,30,5-11,197,L/-,3,September 2 1995,,schueco01,,,
Hunter Skinner,us US,D,24,6-3,205,R/-,R,April 29 2001,2019 NYR 4th (112),skinnhu01,,,
Jimmy Snuggerud,us US,F,21,6-1,186,R/-,1,June 1 2004,2022 STL 1st (23),snuggji01,,,
Jakub Stancl,cz CZ,F,20,6-3,201,L/-,R,April 10 2005,2023 STL 4th (106),stancja01,,,
Sam Stange,us US,F,24,6-1,200,R/-,R,April 20 2001,2020 DET 4th (97),stangsa01,,,
Otto Stenberg,se SE,F,20,5-11,180,L/-,R,May 29 2005,2023 STL 1st (25),stenbot01,,,
Oskar Sundqvist,se SE,F,31,6-3,220,R/-,10,March 23 1994,2012 PIT 3rd (81),sundqos01,,,
Pius Suter,ch CH,F,29,5-11,179,L/-,5,May 24 1996,,suterpi01,,,
Alexandre Texier,fr FR,F,26,6-1,201,L/-,6,September 13 1999,2017 CBJ 2nd (45),texieal01,,,
Robert Thomas,ca CA,F,26,6-0,207,R/-,7,July 2 1999,2017 STL 1st (20),thomaro01,,,
Alexey Toropchenko,ru RU,F,26,6-6,222,L/-,4,June 25 1999,2017 STL 4th (113),toropal01,,,
Tyler Tucker,ca CA,D,25,6-1,204,L/-,3,March 1 2000,2018 STL 7th (200),tuckety01,,,
Chris Wagner,us US,F,34,6-0,192,R/-,11,May 27 1991,2010 ANA 5th (122),wagnech01,,,
Nathan Walker,gb GB,F,31,5-9,187,L/-,8,February 7 1994,2014 WSH 3rd (89),walkena01,,,
Vadim Zherenko,ru RU,G,24,6-2,176,-/L,R,March 15 2001,2019 STL 7th (208),zhereva01,,,
